Epoch,Train Loss,Train Error,Test Loss,Test Error
267,0.454990041,0.15298,1.25327995,0.3101
268,0.442252641,0.14892,1.1800371,0.2896
269,0.435499752,0.1485,1.21528909,0.2927
270,0.440772082,0.15136,1.25950153,0.304
271,0.434995698,0.14854,1.21723727,0.3031
272,0.440928039,0.14948,1.18413912,0.2919
273,0.433953336,0.14812,1.21504648,0.2932
274,0.4329282,0.14658,1.20730347,0.2888
275,0.433698094,0.14678,1.20991447,0.2948
276,0.435089426,0.14802,1.21647298,0.2993
277,0.437182925,0.14908,1.27152058,0.3138
278,0.43052366,0.14618,1.21790378,0.3043
279,0.427865268,0.14718,1.23063492,0.2989
280,0.426574985,0.14406,1.26429174,0.3098
281,0.423745442,0.14462,1.24478749,0.3034
282,0.426184415,0.14536,1.20488895,0.2952
283,0.426679156,0.14538,1.20495782,0.2883
284,0.425683378,0.14466,1.17620014,0.2762
285,0.422216912,0.14528,1.24753158,0.2998
286,0.421920581,0.1433,1.24175056,0.3
287,0.428627663,0.1467,1.22604274,0.2947
288,0.411150317,0.14006,1.21548857,0.2882
289,0.412656963,0.14222,1.25044986,0.303
290,0.414519097,0.14164,1.30794558,0.3144
291,0.41423929,0.14118,1.24984445,0.2967
292,0.410969866,0.13942,1.21783261,0.2887
293,0.414755849,0.14114,1.20218659,0.28
294,0.412586672,0.14142,1.2295686,0.2944
295,0.407675884,0.13754,1.21779882,0.2913
296,0.403576184,0.1371,1.25421024,0.2971
297,0.409368442,0.14086,1.29573521,0.3161
298,0.408589109,0.14002,1.25190039,0.3012
299,0.40437821,0.13828,1.23918723,0.2962
300,0.399187528,0.13644,1.2622027,0.3024
301,0.399318912,0.13502,1.19795128,0.2828
302,0.40567631,0.13922,1.25763721,0.3079
303,0.399824428,0.13824,1.27482875,0.3051
304,0.398831197,0.13768,1.23281559,0.2984
305,0.396361271,0.137,1.27989812,0.3051
306,0.393199801,0.13396,1.25422498,0.3008
307,0.399952564,0.13744,1.24292469,0.2925
308,0.394258615,0.13438,1.28867249,0.31
309,0.390435893,0.13622,1.26897279,0.3014
310,0.392964451,0.13492,1.35949168,0.3259
311,0.385568775,0.13444,1.25126869,0.2943
312,0.388902937,0.13448,1.30844798,0.3069
313,0.388676508,0.13416,1.30026387,0.307
314,0.391315284,0.13492,1.33565666,0.3181
315,0.379977988,0.13048,1.2569328,0.2966
316,0.382747849,0.13214,1.22816834,0.2844
317,0.391385151,0.13354,1.23256847,0.2913
318,0.377999325,0.1311,1.29299196,0.3027
319,0.379373694,0.13164,1.33501871,0.3065
320,0.380168075,0.12952,1.28018215,0.3026
321,0.37919248,0.13034,1.34324981,0.3193
322,0.381723876,0.12964,1.3001412,0.3053
323,0.375633959,0.13026,1.28789021,0.3012
324,0.378424544,0.12994,1.25978383,0.2982
325,0.372887071,0.13026,1.28895227,0.2974
326,0.37404634,0.13008,1.22706051,0.2844
327,0.374662292,0.129,1.30047409,0.3009
328,0.370310469,0.12678,1.31798337,0.3118
329,0.367949116,0.12608,1.37157279,0.3309
330,0.375088547,0.12918,1.31676633,0.3125
331,0.361334079,0.12512,1.31680722,0.3081
332,0.369832197,0.12862,1.33514616,0.3007
333,0.366714134,0.12666,1.30809886,0.296
334,0.369371526,0.12636,1.30640587,0.3144
335,0.361013827,0.12532,1.28846832,0.2988
336,0.364944154,0.12532,1.37006961,0.322
337,0.361301736,0.12536,1.39132439,0.322
338,0.36155069,0.12672,1.33682755,0.3094
339,0.362439015,0.1257,1.33369224,0.3067
340,0.364785729,0.12664,1.28687775,0.2989
341,0.355981356,0.12376,1.31368696,0.3029
342,0.359052055,0.12324,1.33200452,0.3142
343,0.354927292,0.1239,1.351031,0.3122
344,0.354764375,0.12304,1.34952455,0.3045
345,0.356249864,0.12198,1.33049678,0.3076
346,0.36351278,0.12406,1.31774225,0.3012
347,0.353821312,0.12414,1.33641536,0.3078
348,0.354203874,0.12206,1.35271023,0.3145
349,0.358259542,0.12226,1.32392579,0.3074
350,0.349199093,0.12074,1.34782607,0.3111
351,0.349490744,0.1216,1.44589711,0.3353
352,0.347159511,0.11932,1.36478081,0.3164
353,0.348349672,0.11992,1.34076014,0.2892
354,0.348245454,0.1219,1.34300454,0.3127
355,0.353649453,0.12292,1.30607293,0.3
356,0.347715209,0.12022,1.35502837,0.3065
357,0.34326021,0.1205,1.38354713,0.3073
358,0.34134299,0.11834,1.40596507,0.3169
359,0.344597527,0.11728,1.41870657,0.3282
360,0.345628361,0.11966,1.36381621,0.3013
361,0.340901051,0.1179,1.34666377,0.3007
362,0.340831632,0.11748,1.34602307,0.305
363,0.342186365,0.11798,1.37035733,0.3101
364,0.331609026,0.1149,1.37130153,0.3066
365,0.336992901,0.11806,1.4160391,0.3144
366,0.340616641,0.11744,1.33505011,0.2938
367,0.340617641,0.11832,1.34821795,0.3133
368,0.341430621,0.11718,1.37374633,0.3022
369,0.337818148,0.11678,1.41925176,0.3182
370,0.330230052,0.11596,1.39177339,0.3112
371,0.335635654,0.11684,1.36060247,0.3079
372,0.335913916,0.11778,1.34079111,0.3014
373,0.332100352,0.11672,1.393355,0.3125
374,0.327414276,0.11416,1.37264906,0.3084
375,0.333488049,0.11732,1.40600776,0.3103
376,0.331307633,0.11442,1.42335409,0.3207
377,0.326625413,0.11288,1.3791967,0.3132
378,0.32052394,0.11158,1.37140676,0.2973
379,0.329108624,0.11534,1.36401442,0.3008
380,0.329627413,0.1141,1.37948159,0.3066
381,0.326399199,0.11352,1.37740489,0.3065
382,0.320763028,0.11106,1.35272926,0.2943
383,0.329558,0.11516,1.41853048,0.3183
384,0.33715539,0.11852,1.35744757,0.2956
385,0.317903306,0.11094,1.37888536,0.2972
386,0.323886804,0.11228,1.42795691,0.3167
387,0.326977387,0.11492,1.39771355,0.3113
388,0.320939957,0.11146,1.4261639,0.3169
389,0.321204905,0.1112,1.35060118,0.2976
390,0.318488198,0.1101,1.34192215,0.2928
391,0.322098354,0.1122,1.41509138,0.3154
392,0.32693746,0.1128,1.37609143,0.3033
393,0.320104854,0.11128,1.3943398,0.3132
394,0.315313104,0.10898,1.43131396,0.307
395,0.317358733,0.10982,1.39708932,0.3042
396,0.31521121,0.1097,1.40387467,0.3079
397,0.31505696,0.10852,1.39836176,0.304
398,0.314138531,0.10996,1.42266132,0.3129
399,0.324475361,0.11272,1.4096796,0.3022
400,0.316586921,0.11146,1.40453286,0.3074
401,0.305796428,0.10654,1.45440923,0.3174
402,0.315605516,0.11066,1.43586182,0.3134
403,0.311644632,0.10852,1.42874539,0.3
404,0.312126823,0.10856,1.37099937,0.2922
405,0.316820617,0.10978,1.38870179,0.3026
406,0.306702012,0.10858,1.46348079,0.3219
407,0.312944411,0.11072,1.43124811,0.3148
408,0.303829937,0.1062,1.4121871,0.311
409,0.31157716,0.10974,1.39695551,0.3022
410,0.303550913,0.10542,1.415764,0.3082
411,0.303461894,0.10512,1.42545344,0.3073
412,0.304634967,0.1058,1.44236109,0.3162
413,0.314434579,0.11004,1.47130981,0.3194
414,0.307041427,0.10708,1.44027197,0.3071
415,0.299724366,0.10386,1.43533623,0.3051
416,0.304958383,0.10742,1.41932798,0.3097
417,0.299944691,0.10586,1.42192211,0.3145
418,0.297093177,0.10502,1.42141388,0.3087
419,0.302228073,0.106,1.39661059,0.2999
420,0.307212268,0.10698,1.47335094,0.3133
421,0.297319611,0.10472,1.45630024,0.3067
422,0.300337661,0.10562,1.43185676,0.3012
423,0.295889316,0.10146,1.41279912,0.3037
424,0.302885215,0.10494,1.4685038,0.3186
425,0.294643364,0.10224,1.45260666,0.3115
426,0.295399239,0.10234,1.42213069,0.3052
427,0.296046083,0.10404,1.45008641,0.3111
428,0.292085452,0.10166,1.45424853,0.3189
429,0.297137071,0.10492,1.47099057,0.3023
430,0.295939464,0.10326,1.47259469,0.3138
431,0.301784261,0.10532,1.46707872,0.3196
432,0.295193596,0.10032,1.46838518,0.3071
433,0.295223832,0.10382,1.44374703,0.3039
434,0.300553182,0.10594,1.48091765,0.3061
435,0.291066685,0.10248,1.48728138,0.3178
436,0.294528982,0.10182,1.46503239,0.3082
437,0.289319268,0.1014,1.45313508,0.3133
438,0.294223155,0.10186,1.46277781,0.3019
439,0.291016278,0.10268,1.40269603,0.2954
440,0.291745631,0.10206,1.46350663,0.3105
441,0.289300176,0.1019,1.46876883,0.3149
442,0.290341864,0.1018,1.44677619,0.3099
443,0.283670707,0.09902,1.39544759,0.2944
444,0.286799778,0.09996,1.42055889,0.2963
445,0.288430556,0.10156,1.39305052,0.2894
446,0.290643787,0.10118,1.50403784,0.3119
447,0.288994412,0.10038,1.50900838,0.3198
448,0.290518223,0.10112,1.46061335,0.3025
449,0.284213941,0.09898,1.5015725,0.3192
450,0.285909115,0.10086,1.47724224,0.3087
451,0.283037687,0.0978,1.42718407,0.3012
452,0.287222743,0.09972,1.42137574,0.2983
453,0.281681258,0.09892,1.50537407,0.3141
454,0.283994617,0.0984,1.45070056,0.2979
455,0.275088301,0.09628,1.50316747,0.3134
456,0.278999632,0.09752,1.49932019,0.3023
457,0.28932251,0.10136,1.52426425,0.3177
458,0.277794262,0.09648,1.45075019,0.3016
459,0.28106252,0.10096,1.48619724,0.3047
460,0.276797195,0.09828,1.51032335,0.3178
461,0.280975841,0.09858,1.48023384,0.3078
462,0.27821607,0.09648,1.44881862,0.2998
463,0.275731446,0.09542,1.47699377,0.3021
464,0.275895238,0.09728,1.47408766,0.3057
465,0.278620314,0.09858,1.47423943,0.304
466,0.269673264,0.09298,1.45604221,0.3003
